Date : 2025-11-28 23:37:53
Directory : d:\study\train\RailwaySystem
Total : 174 files,  916 codes, 131 comments, 123 blanks, all 1170 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| qml      |         46 |      8,016 |      1,136 |      1,059 |     10,211 |
| C++      |         70 |        466 |         37 |         56 |        559 |
| Markdown |          6 |        141 |          0 |         26 |        167 |
| SVG      |          1 |         48 |          0 |          1 |         49 |
| JSON     |          1 |          1 |          0 |          0 |          1 |
| CMake    |          2 |          0 |          0 |          0 |          0 |
| XML      |          1 |        -48 |          0 |         -1 |        -49 |
| Qrc      |          1 |        -66 |          0 |         -1 |        -67 |
| QML      |         46 |     -7,642 |     -1,042 |     -1,017 |     -9,701 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                               |         89 |     11,106 |      1,208 |      1,551 |     13,865 |
| . (Files)                                                                       |         38 |      3,112 |        102 |        506 |      3,720 |
| .VSCodeCounter                                                                  |          5 |        142 |          0 |         26 |        168 |
| .VSCodeCounter\2025-11-20_22-46-21                                              |          5 |        142 |          0 |         26 |        168 |
| e:\                                                                             |         85 |    -10,190 |     -1,077 |     -1,428 |    -12,695 |
| e:\WYH                                                                          |         85 |    -10,190 |     -1,077 |     -1,428 |    -12,695 |
| e:\WYH\RailwaySystem                                                            |         85 |    -10,190 |     -1,077 |     -1,428 |    -12,695 |
| e:\WYH\RailwaySystem (Files)                                                    |         39 |     -2,712 |        -65 |       -451 |     -3,228 |
| e:\WYH\RailwaySystem\qml                                                        |         45 |     -7,430 |     -1,012 |       -976 |     -9,418 |
| e:\WYH\RailwaySystem\qml (Files)                                                |          2 |        -95 |         -7 |        -14 |       -116 |
| e:\WYH\RailwaySystem\qml\components                                             |         20 |     -2,266 |       -196 |       -312 |     -2,774 |
| e:\WYH\RailwaySystem\qml\pages                                                  |         23 |     -5,069 |       -809 |       -650 |     -6,528 |
| e:\WYH\RailwaySystem\resources                                                  |          1 |        -48 |          0 |         -1 |        -49 |
| e:\WYH\RailwaySystem\resources\icon                                             |          1 |        -48 |          0 |         -1 |        -49 |
| qml                                                                             |         45 |      7,804 |      1,106 |      1,018 |      9,928 |
| qml (Files)                                                                     |          2 |         95 |          7 |         14 |        116 |
| qml\components                                                                  |         20 |      2,400 |        228 |        337 |      2,965 |
| qml\pages                                                                       |         23 |      5,309 |        871 |        667 |      6,847 |
| resources                                                                       |          1 |         48 |          0 |          1 |         49 |
| resources\icon                                                                  |          1 |         48 |          0 |          1 |         49 |
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                        | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\study\train\RailwaySystem\.VSCodeCounter\2025-11-20_22-46-21\details.md      | Markdown |         94 |          0 |          6 |        100 |
| d:\study\train\RailwaySystem\.VSCodeCounter\2025-11-20_22-46-21\diff-details.md | Markdown |          9 |          0 |          6 |         15 |
| d:\study\train\RailwaySystem\.VSCodeCounter\2025-11-20_22-46-21\diff.md         | Markdown |         12 |          0 |          7 |         19 |
| d:\study\train\RailwaySystem\.VSCodeCounter\2025-11-20_22-46-21\results.json    | JSON     |          1 |          0 |          0 |          1 |
| d:\study\train\RailwaySystem\.VSCodeCounter\2025-11-20_22-46-21\results.md      | Markdown |         26 |          0 |          7 |         33 |
| d:\study\train\RailwaySystem\CMakeLists.txt                                     | CMake    |         59 |          0 |         12 |         71 |
| d:\study\train\RailwaySystem\README.md                                          | Markdown |         18 |          0 |          0 |         18 |
| d:\study\train\RailwaySystem\accountmanager.cpp                                 | C++      |        250 |          1 |         23 |        274 |
| d:\study\train\RailwaySystem\accountmanager.h                                   | C++      |         35 |          6 |          9 |         50 |
| d:\study\train\RailwaySystem\admin.cpp                                          | C++      |         56 |          0 |         14 |         70 |
| d:\study\train\RailwaySystem\admin.h                                            | C++      |         25 |          0 |          5 |         30 |
| d:\study\train\RailwaySystem\bookingsystem.cpp                                  | C++      |        347 |         26 |         32 |        405 |
| d:\study\train\RailwaySystem\bookingsystem.h                                    | C++      |         43 |          2 |          7 |         52 |
| d:\study\train\RailwaySystem\city.cpp                                           | C++      |         30 |          0 |          9 |         39 |
| d:\study\train\RailwaySystem\city.h                                             | C++      |         20 |          0 |          6 |         26 |
| d:\study\train\RailwaySystem\date.cpp                                           | C++      |        123 |          3 |         25 |        151 |
| d:\study\train\RailwaySystem\date.h                                             | C++      |         32 |          0 |          6 |         38 |
| d:\study\train\RailwaySystem\main.cpp                                           | C++      |         40 |          3 |          8 |         51 |
| d:\study\train\RailwaySystem\order.cpp                                          | C++      |        199 |          6 |         43 |        248 |
| d:\study\train\RailwaySystem\order.h                                            | C++      |         69 |          0 |          7 |         76 |
| d:\study\train\RailwaySystem\ordermanager.cpp                                   | C++      |        264 |          1 |         30 |        295 |
| d:\study\train\RailwaySystem\ordermanager.h                                     | C++      |         38 |          7 |          8 |         53 |
| d:\study\train\RailwaySystem\passenger.cpp                                      | C++      |         80 |          0 |         18 |         98 |
| d:\study\train\RailwaySystem\passenger.h                                        | C++      |         32 |          0 |          6 |         38 |
| d:\study\train\RailwaySystem\passengermanager.cpp                               | C++      |        135 |          3 |         12 |        150 |
| d:\study\train\RailwaySystem\passengermanager.h                                 | C++      |         29 |          0 |          7 |         36 |
| d:\study\train\RailwaySystem\qml\SessionState.qml                               | qml      |         12 |          0 |          3 |         15 |
| d:\study\train\RailwaySystem\qml\components\AccountCard.qml                     | qml      |         83 |          8 |         12 |        103 |
| d:\study\train\RailwaySystem\qml\components\BasicScrollBar.qml                  | qml      |         27 |          0 |          5 |         32 |
| d:\study\train\RailwaySystem\qml\components\CheckButton.qml                     | qml      |         50 |          0 |          8 |         58 |
| d:\study\train\RailwaySystem\qml\components\ConfirmCancelDialog.qml             | qml      |         71 |          1 |         17 |         89 |
| d:\study\train\RailwaySystem\qml\components\ConfirmDialog.qml                   | qml      |        103 |          3 |         14 |        120 |
| d:\study\train\RailwaySystem\qml\components\CustomButton.qml                    | qml      |         58 |          6 |         13 |         77 |
